"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Class"
"b",103,0.29,"y","p","c","v",1.5,"f","f",0,"t","g","00160",0,"-"
"a",90,2.415,"y","p","c","v",0,"f","f",0,"f","g","00120",0,"-"
"b",86,0.875,"u","g","m","v",0.085,"f","t",4,"f","g","00254",1950,"-"
"b",63,0.5,"u","g","c","v",0.125,"f","f",0,"f","g","00360",0,"-"
"a",211,0.29,"u","g","ff","ff",0,"f","t",10,"f","g","00200",18,"-"
"a",76,1.835,"u","g","j","j",0,"f","t",1,"f","g","00200",53,"-"
"a",123,3,"u","g","m","v",2.79,"f","t",1,"t","g","00280",10,"-"
"b",159,3.085,"u","g","c","v",2.5,"f","t",2,"t","g","00160",41,"-"
"a",152,1.375,"u","g","w","h",0.04,"f","t",3,"f","g","00000",33,"-"
"b",65,2.335,"u","g","k","v",0.75,"f","f",0,"f","g","00180",0,"-"
"b",10,4.085,"u","g","i","h",0.415,"f","f",0,"t","g","00120",0,"-"
"a",63,11.665,"u","g","k","h",0.085,"f","f",0,"f","g","00320",5,"-"
"b",53,4.125,"y","p","i","h",0.04,"f","f",0,"f","g","00140",100,"-"
"b",16,6.5,"u","g","i","v",0.125,"f","f",0,"f","g","00060",100,"-"
"b",35,4,"y","p","i","v",1,"f","f",0,"t","g","00360",1000,"-"
"b",49,0.415,"u","g","c","v",0.125,"f","f",0,"f","g","00000",44,"-"
"b",115,2,"u","g","d","v",0.75,"f","f",0,"t","g","00080",0,"-"
"b",83,0.835,"u","g","i","h",0.085,"f","f",0,"t","g","00220",5,"-"
"b",230,2.5,"y","p","i","h",10,"f","f",0,"t","s","00200",0,"-"
"b",73,11.5,"u","g","i","v",0.415,"f","f",0,"f","g","00000",0,"-"
NA,112,2.71,"y","p",NA,NA,0.085,"f","f",0,"f","s","00080",0,"-"
"a",12,0.5,"u","g","i","v",0.165,"f","t",6,"t","g","00240",35,"-"
"b",82,3.165,"y","p","k","v",0.415,"f","t",1,"t","g","00280",80,"-"
"a",15,9.5,"u","g","aa","v",1.75,"f","t",10,"t","g","00000",10,"-"
"b",84,0.415,"y","p","c","v",0.04,"f","t",2,"f","g","00128",6,"-"
"b",194,1.08,"u","g","m","v",1.165,"f","f",0,"f","s","00028",0,"-"
"b",347,19,"y","p","ff","ff",0.04,"f","t",2,"f","g","00000",351,"-"
"b",129,0.125,"y","p","k","v",0.085,"f","f",0,"f","g","00216",2100,"-"
"b",90,13.335,"y","p","aa","v",0.04,"f","f",0,"t","g","00120",475,"-"
"b",32,3.54,"y","p","ff","ff",0,"f","f",0,"t","g","00180",1,"-"
NA,270,1,"u","g","q","v",0.125,"f","f",0,"t","g","00263",0,"-"
"a",277,0.75,"u","g","q","h",2.75,"t","t",1,"f","g","00333",892,"+"
"b",87,0.875,"u","g","q","v",4.625,"t","t",2,"t","g","00520",2000,"+"
"b",231,9.5,"u","g","m","v",6.5,"t","t",14,"f","g","00240",4607,"+"
"a",48,11.835,"u","g","c","h",6,"t","f",0,"f","g","00340",0,"+"
"a",32,4.415,"y","p","c","h",3,"t","f",0,"f","g","00240",0,"+"
"b",35,9.5,"u","g","w","v",1.5,"t","f",0,"f","g","00120",2206,"+"
"a",95,0.875,"u","g","x","h",1.04,"t","f",0,"t","g","00160",5860,"+"
"b",44,9.25,"u","g","c","v",1.665,"t","t",3,"t","g","00040",28,"+"
"b",104,0.5,"u","g","c","v",1.46,"t","t",5,"t","g","00312",0,"+"
"b",47,7,"u","g","c","v",1.625,"t","t",3,"f","g","00200",1391,"+"
"b",NA,4,"u","g","x","v",5,"t","t",3,"t","g","00290",2279,"+"
"b",228,5,"u","g","cc","v",3.5,"t","t",10,"t","g","00000",0,"+"
"a",338,0.165,"u","g","ff","ff",0,"t","t",1,"f","g","00232",100,"+"
"b",130,5.125,"u","g","x","v",4.75,"t","t",2,"f","g","00420",7,"+"
"a",136,3.75,"u","g","c","v",1.085,"t","t",1,"t","g","00371",0,"+"
"b",161,19.5,"u","g","c","v",7,"t","t",16,"f","g","00000",5000,"+"
"a",33,9,"u","g","aa","v",0.75,"t","t",2,"f","g","00088",591,"+"
"a",92,3,"u","g","q","h",1.835,"t","t",19,"f","g","00000",500,"+"
"a",155,12,"u","g","c","v",2,"t","t",1,"f","g","00220",19,"+"
"b",52,4.79,"y","p","w","v",2.25,"t","t",1,"t","g","00080",300,"+"
"b",1,4,"y","p","w","v",1.75,"t","t",2,"t","g","00120",1000,"+"
"a",272,4,"u","g","j","j",0,"t","f",0,"f","g","00100",960,"+"
"a",266,0,"u","g","c","v",2.5,"t","f",0,"f","g","00000",0,"+"
"b",45,9.96,"u","g","e","dd",0,"t","f",0,"f","g","00000",0,"+"
"b",72,2.54,"y","p","c","h",2.585,"t","f",0,"f","g","00000",0,"+"
"b",NA,10.5,"u","g","x","v",6.5,"t","f",0,"f","g","00000",0,"+"
"a",334,5,"u","g","aa","v",4,"t","t",4,"f","g","00000",99,"+"
"b",7,0.75,"u","g","c","v",1.75,"t","t",5,"t","g","00352",690,"+"
"a",129,0.375,"u","g","q","v",0.585,"t","t",4,"f","g","00080",0,"+"
"b",230,1.71,"u","g","x","v",0.125,"t","t",5,"t","g","00480",0,"+"
NA,47,7.5,"u","g","k","v",1.5,"t","t",1,"f","g","00160",234,"+"
"a",147,5.29,"u","g","e","dd",2.25,"t","t",5,"t","g","00099",500,"+"
"b",74,3,"u","g","m","v",1.29,"t","t",1,"f","g","00260",800,"+"
"a",70,8.5,"u","g","q","v",1.75,"t","t",10,"f","g","00080",990,"-"
"a",134,1.665,"u","g","q","v",2.415,"t","f",0,"t","g","00440",0,"-"
"b",269,1.5,"u","g","c","v",2.5,"t","f",0,"t","g","00140",0,"-"
"b",249,1.75,"u","g","k","v",0.21,"t","f",0,"f","g","00160",0,"-"
"a",322,0.335,"u","g","i","bb",1,"t","f",0,"t","g","00252",2197,"-"
"a",314,7.08,"u","g","k","h",6.75,"t","t",3,"t","g","00100",50,"-"
"b",262,25.21,"u","g","q","h",0.21,"t","t",1,"f","g","00760",90,"-"
"a",99,2.085,"u","g","c","h",2.75,"t","f",0,"t","g","00360",1,"-"
"a",91,0.67,"u","g","aa","h",1.75,"t","f",0,"f","g","00400",0,"-"
"b",261,2.25,"u","g","i","bb",0.75,"t","f",0,"f","g","00560",0,"-"
"b",243,0.835,"u","g","ff","ff",0,"t","f",0,"f","g","00130",1,"-"
"b",166,2.5,"u","g","aa","v",7.5,"t","f",0,"t","g","00523",0,"-"
"a",186,1.585,"y","p","ff","ff",0,"t","f",0,"f","g","00320",0,"-"
"a",94,1.25,"u","g","ff","ff",0,"t","f",0,"f","g","00080",0,"-"
"b",200,3.165,"u","g","x","h",3.75,"t","f",0,"t","g","00680",0,"-"
"b",190,1.75,"u","g","w","bb",0.25,"t","f",0,"t","g","00163",0,"-"
"b",349,5.5,"u","g",NA,NA,0.54,"t","f",0,"f","g","00000",340,"-"
"b",37,1.5,"y","p","cc","v",2,"t","f",0,"t","g","00100",20,"-"
"b",257,3,"u","g","i","bb",1,"t","f",0,"f","g","00000",200,"-"
"b",40,10,"y","p","k","h",0.835,"t","f",0,"t","g","00140",0,"-"
"b",208,3.79,"u","g","w","v",1.165,"t","f",0,"t","g","00200",0,"-"
"b",148,1.04,"y","p","i","bb",0.5,"t","t",10,"t","g","00132",28,"-"
"b",265,11,"y","p","d","v",1.5,"t","f",0,"f","s","00000",0,"-"
"b",83,0.46,"y","p","w","v",2.625,"t","t",6,"t","g","00208",347,"-"
"b",85,1.5,"u","g","d","h",1.875,"t","t",6,"f","g","00200",327,"+"
"b",180,1,"u","g","x","v",0.75,"t","t",7,"t","g","00340",4071,"+"
"b",286,12,"u","g","m","v",16,"t","f",0,"f","s","00110",0,"+"
"b",348,22.29,"u","g","e","z",12.75,"t","t",1,"t","g","00000",109,"+"
"b",298,10,"u","g","i","bb",0,"t","t",11,"f","g","00000",1249,"+"
"b",195,15,"u","g","r","n",5.375,"t","t",9,"t","g","00000",134,"+"
"b",224,3.335,"u","g","w","v",4,"t","t",14,"f","g","00383",1344,"+"
"a",69,11.25,"y","p","x","h",0.75,"t","t",4,"f","g","00000",321,"+"
"b",251,0.42,"u","g","c","h",0.21,"t","t",6,"f","g","00220",948,"+"
"b",142,4.5,"u","g","w","v",7.5,"t","t",2,"t","g","00330",0,"+"
"a",170,1.46,"u","g","w","v",1.085,"t","t",16,"f","g","00120",2079,"+"
"b",299,0.04,"u","g","x","h",0.04,"t","f",0,"f","g","00000",3000,"+"
"a",74,2.29,"u","g","q","h",2.29,"t","t",7,"t","g","00140",2384,"+"
"a",95,12.33,"u","g","cc","h",3.5,"t","t",6,"f","g","00400",458,"+"
"b",115,1.125,"u","g","x","h",1.25,"t","f",0,"f","g","00000",5298,"+"
"b",80,1.5,"u","g","c","h",1.415,"t","f",0,"f","g","00422",200,"+"
"b",89,12.335,"u","g","q","h",1.585,"t","f",0,"t","g","00120",0,"+"
"b",254,5.04,"u","g","q","h",12.75,"t","f",0,"t","g","00092",0,"+"
"a",51,3,"u","g","aa","v",0.04,"t","f",0,"f","g","00100",0,"+"
"b",77,11.5,"u","g","w","h",2.125,"t","t",11,"t","g","00290",284,"+"
"a",97,2.875,"u","g","x","h",0.875,"t","f",0,"f","g","00360",0,"+"
"b",260,0.375,"y","p","c","v",0.375,"t","t",8,"t","g","00300",162,"+"
"a",203,0.915,"u","g","aa","v",0.75,"t","t",4,"f","g","00000",1583,"+"
"b",330,2.75,"u","g","w","v",1.75,"t","t",5,"t","g","00060",58,"+"
"b",52,3,"y","p","d","v",1.085,"t","t",8,"t","g","00160",1,"+"
"b",63,0.54,"y","p","x","v",0.04,"t","t",1,"t","g","00840",59,"+"
"a",339,14,"u","g","ff","ff",0,"t","t",11,"t","g","00000",1400,"+"
"a",46,10,"u","g","c","h",1,"t","t",4,"f","g","00050",1465,"+"
"b",171,0.165,"y","p","c","h",3.25,"t","t",1,"t","g","00432",8000,"+"
"b",149,0.5,"u","g","c","v",1.75,"t","t",11,"f","g","00032",540,"+"
"b",97,6,"u","g","c","v",1,"t","t",3,"f","g","00000",0,"+"
"b",230,1.625,"u","g","c","v",1.5,"t","t",10,"f","g","00186",4700,"+"
"b",229,6,"u","g","m","v",1.29,"t","t",5,"t","g","00108",1097,"+"
"b",164,0.83,"u","g","x","v",1.335,"t","t",8,"t","g","00303",3290,"+"
"b",244,0.04,"u","g","e","v",0.04,"f","t",1,"f","s","00560",0,"+"
"b",287,4.25,"u","g","m","v",0.125,"t","f",0,"t","g","00225",0,"+"
"b",174,9,"y","p","w","h",5.25,"t","f",0,"t","g","00154",0,"+"
"a",128,15,"y","p","e","z",0,"t","f",0,"f","g","00000",13212,"+"
"b",346,17.75,"u","g","ff","ff",0,"t","f",0,"t","g","00000",0,"+"
"b",338,20,"u","g","x","h",17.5,"t","t",9,"t","g","00000",1000,"+"
"b",300,15,"u","g","c","v",8.5,"t","t",9,"f","g","00000",0,"+"
"b",114,1.75,"y","p","c","v",1,"t","t",5,"t","g","00160",5777,"+"
"b",99,0.58,"u","g","c","v",0.29,"t","t",7,"t","g","00096",5124,"+"
"b",149,6.5,"u","g","cc","v",3.125,"t","t",8,"f","g","00330",1200,"+"
"b",118,0.75,"u","g","c","h",4.25,"t","t",3,"t","g","00312",150,"+"
"b",78,0,NA,NA,NA,NA,0,"f","f",0,"f","p",NA,0,"+"
"b",189,5.25,"u","g","w","v",0.085,"f","f",0,"t","g","00290",6,"+"
"b",225,0.21,"u","g","k","v",0.085,"t","f",0,"t","g","00280",0,"+"
"b",104,0.75,"u","g","c","bb",0.25,"t","f",0,"f","g","00349",23,"+"
"a",273,3,"u","g","c","v",2.375,"t","t",8,"t","g","00396",4159,"+"
"a",58,6,"u","g","aa","v",2.5,"t","t",3,"f","g","00080",918,"+"
NA,43,0.125,"u","g","q","v",1,"f","t",1,"f","g","00240",768,"+"
"b",48,2.415,"u","g","c","v",2,"t","t",11,"t","g","00200",3000,"+"
"a",141,0.46,"u","g","k","v",0.54,"t","t",4,"f","g","00380",500,"+"
NA,255,1.75,"y","p",NA,NA,0,"f","f",0,"t","g","00150",1,"-"
"b",145,1.25,"y","p","k","v",0.25,"f","f",0,"f","g","00224",0,"-"
"b",43,0.25,"u","g","q","v",0.125,"f","f",0,"f","g","00200",0,"-"
"b",81,0.585,"u","g","c","h",0.085,"t","f",0,"f","g","00180",0,"-"
"a",142,1.75,"y","p","k","v",1.25,"f","f",0,"t","g","00280",0,"-"
"b",8,0.04,"u","g","c","v",0.04,"f","f",0,"f","g","00000",0,"+"
"b",172,3.5,"u","g","k","v",0.5,"f","f",0,"t","g","00232",0,"-"
"b",NA,0.04,"y","p","d","v",4.25,"f","f",0,"t","g","00460",0,"-"
"b",282,4.165,"u","g","x","bb",0.085,"f","f",0,"t","g","00520",0,"-"
"b",42,1.25,"y","p","k","v",0.125,"f","f",0,"f","g","00140",4,"-"
"b",123,3.25,"y","p","q","h",5.085,"f","t",2,"t","g","00369",1,"-"
"b",64,0.79,"u","g","w","v",0.29,"f","t",1,"f","g","00420",283,"-"
"b",36,10.915,"u","g","c","bb",0.585,"f","t",2,"t","g","00200",7,"-"
"a",222,4.415,"u","g","c","v",0.125,"f","f",0,"f","g","00160",0,"-"
"b",140,1.25,"u","g","c","h",0.25,"f","t",2,"t","g","00400",108,"-"
"b",72,0.75,"u","g","i","v",1.585,"f","t",1,"t","g","00400",9,"-"
"b",171,14,"y","p","ff","ff",0,"f","t",2,"f","g","00160",1,"-"
"b",142,4.75,"u","g","m","v",2,"f","t",1,"t","g","00460",68,"-"
"b",27,10.415,"y","p","aa","v",0.125,"t","f",0,"f","g","00120",375,"-"
"b",66,2.25,"u","g","i","v",0.125,"f","f",0,"f","g","00160",10,"-"
"b",72,0.165,"u","g","c","j",2.25,"f","f",0,"t","s","00000",0,"+"
"a",102,0,NA,NA,NA,NA,0,"f","f",0,"f","p",NA,0,"+"
"b",32,0,"u","g","q","v",0.665,"f","f",0,"f","g","00160",1,"-"
"b",59,0.79,"y","p","cc","v",0.665,"f","f",0,"f","g","00160",0,"-"
"b",84,12,"u","g","c","v",2.085,"f","f",0,"f","s","00080",0,"-"
"b",64,7.835,"y","p","i","bb",0.165,"f","f",0,"t","g",NA,0,"-"
"b",205,2.54,"u","g","ff","ff",0,"f","f",0,"f","g","00000",1000,"-"
"b",139,13,"u","g","d","h",0.5,"f","f",0,"f","g","00228",0,"-"
"a",39,0.665,"u","g","w","v",1.665,"f","f",0,"f","g","00220",5,"-"
"a",75,1.25,"u","g","q","v",0.25,"f","f",0,"t","g","00120",809,"-"
"a",120,0.29,"u","g","m","h",0.125,"f","t",1,"t","g","00272",108,"-"
"a",226,1.5,"u","g","ff","ff",0,"f","f",0,"f","g","00076",0,"-"
"b",173,2.165,"y","p","k","ff",0,"f","f",0,"f","g","00120",0,"-"
"a",84,0.71,"u","g","w","v",0.25,"f","t",1,"t","g","00240",4,"-"
"b",24,2.46,"u","g","c","n",0.96,"f","t",2,"t","g","00160",587,"-"
"b",243,0.5,"y","p","m","v",0.5,"f","f",0,"t","g","00130",0,"-"
"b",38,9.585,"u","g","aa","v",0.79,"f","f",0,"f","g","00080",350,"-"
"b",134,3.625,"u","g","aa","v",0.25,"f","f",0,"t","g","00100",0,"-"
"b",202,0.75,"u","g","k","v",1.5,"f","f",0,"t","g","00231",0,"-"
"b",189,2.75,"u","g","i","bb",2.5,"f","f",0,"t","g","00232",200,"-"
NA,180,2.25,"y","p","cc","v",3.5,"f","f",0,"t","g","00200",141,"-"
"b",163,0.75,"y","p","aa","v",3.5,"f","f",0,"t","g","00320",0,"-"
"a",306,7,"u","g","aa","h",3,"f","f",0,"f","g","00000",0,"-"
"b",206,0.42,"y","p","w","v",0.29,"f","f",0,"t","g","00309",2,"-"
"b",215,2.665,"u","g","cc","v",0.165,"f","f",0,"t","g","00000",501,"-"
"a",51,8.5,"u","g","c","v",0.165,"f","f",0,"f","g","00000",351,"-"
"b",86,9,"u","g","aa","v",0.25,"f","f",0,"t","g","00000",0,"-"
"b",102,0.335,"u","g","k","h",3.5,"f","f",0,"t","g","00340",0,"-"
"a",199,3.75,"u","g","ff","ff",0,"f","t",6,"f","g","00000",200,"-"
"b",283,3.75,"u","g","i","bb",1,"f","f",0,"f","g","00100",2,"-"
"a",4,7.625,"u","g","q","v",0.125,"f","t",1,"t","g","00000",160,"-"
"a",70,0.415,"u","g","i","v",0.335,"f","f",0,"t","s","00144",0,"-"
"b",58,11.5,"u","g","i","v",0.5,"t","f",0,"t","g","00100",68,"-"
"a",83,0.83,"u","g","q","v",0.415,"f","t",1,"t","g","00200",11,"-"
"a",53,5,"y","p","ff","ff",0,"f","f",0,"f","g","00000",0,"-"
"b",103,3.25,"u","g","c","h",2.29,"f","t",1,"t","g","00416",21,"-"
"a",227,1.665,"u","g","aa","v",0.25,"f","f",0,"f","g","00000",390,"-"
"a",3,0.375,"u","g","c","v",1,"f","f",0,"f","g","00120",18,"-"
"a",134,3.75,"u","g","c","v",0.25,"f","t",1,"t","g","00040",154,"-"
"b",67,9,"u","g","aa","v",0.085,"f","f",0,"f","g","00000",0,"-"
"b",145,3.5,"u","g","c","v",0.165,"f","f",0,"f","g","00216",0,"-"
"a",82,1.5,"u","g","w","v",0.875,"f","f",0,"t","g","00160",0,"-"
"b",169,4,"y","p","cc","v",1.5,"f","f",0,"t","g","00120",0,"-"
"b",159,1.5,"y","p","w","v",0.04,"f","f",0,"f","s","00160",0,"-"
"b",166,0.04,"y","p","m","v",0.04,"f","f",0,"f","g","00000",0,"-"
"a",61,11.75,"u","g","c","v",0.25,"f","f",0,"t","g","00180",0,"-"
"a",21,0.54,"u","g","c","v",1.75,"f","t",1,"t","g","00080",5,"-"
"b",151,0.5,"u","g","d","h",0.085,"f","f",0,"t","s","00252",0,"-"
"b",301,2.04,"y","p","ff","ff",1.5,"f","f",0,"f","g","00120",1,"-"
"b",276,5.835,"u","g","w","v",5.5,"f","f",0,"f","g","00465",150,"-"
"b",105,12.835,"u","g","cc","v",0.5,"f","f",0,"f","g","00000",2,"-"
"a",296,0.835,"u","g","aa","v",0.5,"f","f",0,"t","g","00240",117,"-"
NA,141,2,"y","p","e","h",2,"f","f",0,"f","g","00256",17,"-"
"a",215,2.5,"u","g","i","h",0.21,"f","f",0,"f","g","00260",246,"-"
"a",249,1.04,"u","g","aa","v",0.665,"f","f",0,"f","g","00240",237,"-"
"a",154,10.665,"u","g","q","h",0.085,"f","t",12,"t","g","00129",3,"-"
"b",37,7.25,"u","g","m","v",0.04,"f","t",1,"f","g","00100",1,"-"
"a",21,10.21,"u","g","ff","ff",0,"f","f",0,"f","g","00000",50,"-"
"a",43,1.25,"u","g","c","v",0,"f","f",0,"f","g","00000",0,"-"
"b",38,0.29,"u","g","k","v",0.29,"f","f",0,"f","g","00280",364,"-"
"b",126,1,"y","p","d","h",3,"f","f",0,"f","g","00176",537,"-"
"b",13,3.29,"u","g","i","v",0.335,"f","f",0,"t","g","00140",2,"-"
"b",209,0.75,"y","p","d","v",0.585,"f","f",0,"f","g","00240",3,"-"
"b",241,3.29,"u","g","m","v",3.5,"f","f",0,"t","s","00400",0,"-"
"b",53,10.085,"y","p","e","h",1.25,"f","f",0,"f","g","00260",0,"-"
"a",72,0.75,"u","g","c","v",2,"f","t",2,"t","g","00200",394,"-"
"a",98,13.5,"y","p","ff","ff",2,"f","t",1,"t","g","00200",1,"-"
"b",21,0.205,"u","g","aa","v",0.04,"f","f",0,"f","g","00280",750,"-"
"b",198,3.375,"u","g","c","h",8.29,"f","f",0,"t","g","00000",0,"-"
