"Class","timestamp","day_of_week","is_weekend","is_holiday","apparent_temperature","temperature","is_start_of_semester"
"0",3010,5,1,0,63,63,0
"0",3311,5,1,0,63,63,0
"0",26707,5,1,0,61.45,61.45,0
"0",27609,5,1,0,61.45,61.45,0
"0",28511,5,1,0,61.45,61.45,0
"0",35411,5,1,0,62.96,62.96,0
"0",35712,5,1,0,62.96,62.96,0
"0",44412,5,1,0,62.95,62.95,0
"0",52508,5,1,0,63.68,63.68,0
"0",54906,5,1,0,63.23,63.23,0
"0",63610,5,1,0,64.69,64.69,0
"0",63911,5,1,0,64.69,64.69,0
"0",66308,5,1,0,65.23,65.23,0
"0",66610,5,1,0,65.23,65.23,0
"0",69607,5,1,0,64.76,64.76,0
"0",75014,5,1,0,64.49,64.49,0
"0",77108,5,1,0,63.53,63.53,0
"0",81611,5,1,0,63.24,63.24,0
"0",2407,6,1,0,63.24,63.24,0
"0",33606,6,1,0,61.8,61.8,0
"0",37807,6,1,0,63.58,63.58,0
"1",41406,6,1,0,66.29,66.29,0
"1",42608,6,1,0,66.29,66.29,0
"1",62406,6,1,0,66.21,66.21,0
"1",64809,6,1,0,64.49,64.49,0
"1",75610,6,1,0,62.27,62.27,0
"0",32412,0,0,0,62.72,62.72,0
"0",36013,0,0,0,64.44,64.44,0
"1",82813,0,0,0,61.72,61.72,0
"0",24029,1,0,0,61.24,61.24,0
"0",24652,1,0,0,61.24,61.24,0
"0",71772,1,0,0,66.25,66.25,0
"0",11,2,0,0,61,61,0
"0",25210,2,0,0,62.97,62.97,0
"0",26408,2,0,0,62.97,62.97,0
"0",28210,2,0,0,62.97,62.97,0
"0",33607,2,0,0,64.01,64.01,0
"0",37808,2,0,0,65.57,65.57,0
"1",61211,2,0,0,71.19,71.19,0
"1",64811,2,0,0,69.66,69.66,0
"1",66607,2,0,0,69.66,69.66,0
"0",78010,2,0,0,66.73,66.73,0
"0",84013,2,0,0,66.24,66.24,0
"0",27010,3,0,0,62.22,62.22,0
"0",37208,3,0,0,64.22,64.22,0
"1",62408,3,0,0,69.01,69.01,0
"1",66608,3,0,0,68.53,68.53,0
"0",2409,4,0,0,64.49,64.49,0
"0",24610,4,0,0,63.73,63.73,0
"0",56409,4,0,0,70.69,70.69,0
"0",73875,4,0,0,68.8,68.8,0
"0",82812,4,0,0,67,67,0
"0",84608,4,0,0,67,67,0
"0",27614,5,1,0,66.8,66.8,0
"0",31817,5,1,0,67.8,67.8,0
"0",63012,5,1,0,77.32,77.32,0
"0",66612,5,1,0,75.62,75.62,0
"0",73812,5,1,0,71.49,71.49,0
"0",33611,6,1,0,72.14,72.14,0
"0",34212,6,1,0,72.14,72.14,0
"0",40811,6,1,0,77.42,77.42,0
"0",49212,6,1,0,79.2,79.2,0
"0",58811,6,1,0,79.85,79.85,0
"0",63612,6,1,0,78.79,78.79,0
"0",75612,6,1,0,70.65,70.65,0
"0",23409,0,0,0,63.42,63.42,0
"0",35412,0,0,0,66.71,66.71,0
"0",38411,0,0,0,67.83,67.83,0
"0",39012,0,0,0,67.83,67.83,0
"0",49812,0,0,0,70.75,70.75,0
"1",66009,0,0,0,64.26,64.26,0
"1",68412,0,0,0,63.04,63.04,0
"1",75011,0,0,0,62,62,0
"0",31211,1,0,0,62.01,62.01,0
"0",33609,1,0,0,63.47,63.47,0
"0",42611,1,0,0,66.18,66.18,0
"0",48010,1,0,0,67.41,67.41,0
"0",56411,1,0,0,67.21,67.21,0
"1",68412,1,0,0,64,64,0
"1",75011,1,0,0,63.73,63.73,0
"0",84610,1,0,0,63,63,0
"0",3612,2,0,0,62.73,62.73,0
"0",33610,2,0,0,63,63,0
"0",51609,2,0,0,66.15,66.15,0
"1",60611,2,0,0,66.66,66.66,0
"0",73810,2,0,0,64.73,64.73,0
"0",85811,2,0,0,64.49,64.49,0
"0",11,3,0,0,64.28,64.28,0
"0",30009,3,0,0,61.2,61.2,0
"0",34210,3,0,0,61.73,61.73,0
"0",49211,3,0,0,62.93,62.93,0
"0",58809,3,0,0,64.18,64.18,0
"1",63609,3,0,0,63.73,63.73,0
"1",64210,3,0,0,63.73,63.73,0
"0",82811,3,0,0,61,61,0
"0",85210,3,0,0,61,61,0
"0",1209,4,0,0,61.24,61.24,0
"0",20419,4,0,0,61,61,0
"0",40810,4,0,0,62.23,62.23,0
"0",48009,4,0,0,62.44,62.44,0
"1",60611,4,0,0,63.47,63.47,0
"1",63610,4,0,0,62.72,62.72,0
"1",68411,4,0,0,62,62,0
"0",71412,4,0,0,62,62,0
"0",75038,4,0,0,61.76,61.76,0
"0",76812,4,0,0,62,62,0
"0",78013,4,0,0,62,62,0
"0",40809,5,1,0,65.77,65.77,0
"0",42010,5,1,0,65.77,65.77,0
"0",64811,5,1,0,63,63,0
"0",69609,5,1,0,62.24,62.24,0
"0",73209,5,1,0,62.24,62.24,0
"0",85812,5,1,0,62.53,62.53,0
"1",34209,6,1,0,64,64,0
"0",81013,6,1,0,63.24,63.24,0
"0",84011,6,1,0,63.24,63.24,0
"0",21014,0,0,0,61.73,61.73,0
"0",28814,0,0,0,62.73,62.73,0
"1",31813,0,0,0,62.73,62.73,0
"1",73211,0,0,0,64.73,64.73,0
"1",76812,0,0,0,63.97,63.97,0
"1",79215,0,0,0,62.73,62.73,0
"1",82217,0,0,0,62.73,62.73,0
"1",36077,1,0,0,61.97,61.97,0
"1",46219,1,0,0,65.22,65.22,0
"1",48012,1,0,0,66.4,66.4,0
"1",52813,1,0,0,66.95,66.95,0
"0",62054,1,0,0,65.69,65.69,0
"0",62146,1,0,0,65.69,65.69,0
"0",62207,1,0,0,65.69,65.69,0
"0",62359,1,0,0,65.69,65.69,0
"0",62481,1,0,0,65.69,65.69,0
"0",62573,1,0,0,65.69,65.69,0
"0",63064,1,0,0,65.69,65.69,0
"0",64324,1,0,0,65.69,65.69,0
"0",64477,1,0,0,65.69,65.69,0
"0",64966,1,0,0,64.97,64.97,0
"1",79226,1,0,0,61,61,0
"1",82815,1,0,0,60,60,0
"0",21014,2,0,0,60.24,60.24,1
"0",23412,2,0,0,61.24,61.24,1
"1",36016,2,0,0,63.77,63.77,1
"1",44412,2,0,0,66.96,66.96,1
"1",54025,2,0,0,70.23,70.23,1
"1",55813,2,0,0,70.23,70.23,1
"1",84612,2,0,0,65.14,65.14,1
"1",34812,3,0,0,66.57,66.57,1
"1",38412,3,0,0,70.15,70.15,1
"1",64214,3,0,0,76.3,76.3,1
"1",70814,3,0,0,76.28,76.28,1
"0",3614,4,0,0,69.28,69.28,1
"1",31812,4,0,0,69.77,69.77,1
"1",38414,4,0,0,65.8,65.8,1
"1",52213,4,0,0,65.8,65.8,1
"1",52813,4,0,0,65.8,65.8,1
"1",64869,4,0,0,65.8,65.8,1
"1",78613,4,0,0,65.8,65.8,1
"0",22812,5,1,0,65.8,65.8,1
"0",30611,5,1,0,65.8,65.8,1
"0",31812,5,1,0,65.8,65.8,1
"0",35413,5,1,0,65.8,65.8,1
"1",45613,5,1,0,65.8,65.8,1
"1",49213,5,1,0,65.8,65.8,1
"1",58811,5,1,0,65.8,65.8,1
"1",67815,5,1,0,65.8,65.8,1
"0",85213,5,1,0,65.8,65.8,1
"0",13,6,1,0,65.8,65.8,1
"0",19812,6,1,0,65.8,65.8,1
"1",63613,6,1,0,65.8,65.8,1
"1",67214,6,1,0,65.8,65.8,1
"1",72015,6,1,0,65.8,65.8,1
"0",78013,6,1,0,65.8,65.8,1
"0",85816,6,1,0,65.8,65.8,1
"0",20412,0,0,0,63.46,63.46,1
"0",30020,0,0,0,64.76,64.76,1
"1",36013,0,0,0,67.38,67.38,1
"1",57013,0,0,0,70.52,70.52,1
"1",78013,0,0,0,63.51,63.51,1
"0",1212,1,0,0,63.24,63.24,1
"0",28214,1,0,0,64,64,1
"1",54020,1,0,0,68.53,68.53,1
"1",64828,1,0,0,65,65,1
"1",80414,1,0,0,63.73,63.73,1
"1",85213,1,0,0,63.45,63.45,1
"0",3013,2,0,0,63,63,1
"0",23412,2,0,0,63,63,1
"1",27012,2,0,0,63,63,1
"1",44412,2,0,0,65.17,65.17,1
"1",48013,2,0,0,66.69,66.69,1
"1",52213,2,0,0,66.97,66.97,1
"1",52813,2,0,0,66.97,66.97,1
"1",54015,2,0,0,66.14,66.14,1
"1",68437,2,0,0,64.24,64.24,1
"1",43216,3,0,0,65.01,65.01,1
"1",48613,3,0,0,65.04,65.04,1
"1",63013,3,0,0,64.54,64.54,1
"1",66012,3,0,0,64.27,64.27,1
"1",78272,3,0,0,62.49,62.49,1
"0",19814,4,0,0,59.73,59.73,1
"0",27012,4,0,0,59.73,59.73,1
"1",34212,4,0,0,61.8,61.8,1
"1",39015,4,0,0,63.35,63.35,1
"1",43215,4,0,0,66.2,66.2,1
"1",46815,4,0,0,67.93,67.93,1
"1",59413,4,0,0,68.05,68.05,1
"1",31212,5,1,0,62.59,62.59,1
"1",37212,5,1,0,64.73,64.73,1
"1",48012,5,1,0,72.65,72.65,1
"1",54014,5,1,0,72.15,72.15,1
"1",62412,5,1,0,72.01,72.01,1
"1",73213,5,1,0,70.5,70.5,1
"1",75617,5,1,0,69.97,69.97,1
"0",85212,5,1,0,67.77,67.77,1
"0",2412,6,1,0,65.83,65.83,1
"0",3614,6,1,0,64.59,64.59,1
"0",24012,6,1,0,62.58,62.58,1
"0",26411,6,1,0,64.03,64.03,1
"1",30611,6,1,0,66.56,66.56,1
"1",31212,6,1,0,66.56,66.56,1
"1",52211,6,1,0,74.92,74.92,1
"1",73211,6,1,0,65.65,65.65,1
"1",80411,6,1,0,64.99,64.99,1
"1",84012,6,1,0,65.04,65.04,1
"1",48612,0,0,0,81.6,81.6,1
"1",54014,0,0,0,84.01,84.01,1
"1",64214,0,0,0,79.35,79.35,1
"1",84612,0,0,0,70.27,70.27,1
"1",44412,1,0,0,81.14,81.14,1
"1",48012,1,0,0,86.24,86.24,1
"1",48612,1,0,0,86.24,86.24,1
"1",68431,1,0,0,77.54,77.54,1
"1",84612,1,0,0,72.73,72.73,1
"1",59413,2,0,0,79.43,79.43,0
"1",62412,2,0,0,77.38,77.38,0
"1",66012,2,0,0,73.72,73.72,0
"1",67213,2,0,0,73.72,73.72,0
"1",75614,2,0,0,66.46,66.46,0
"1",85812,2,0,0,64.77,64.77,0
"1",1212,3,0,0,64.04,64.04,0
"0",27012,3,0,0,63.91,63.91,0
"1",30013,3,0,0,65.84,65.84,0
"1",34212,3,0,0,68.41,68.41,0
"1",42615,3,0,0,74.31,74.31,0
"1",46814,3,0,0,73.48,73.48,0
"1",57014,3,0,0,73.07,73.07,0
"1",60614,3,0,0,75.92,75.92,0
"1",78613,3,0,0,63.57,63.57,0
"1",82815,3,0,0,62.5,62.5,0
"0",22811,4,0,0,61.18,61.18,0
"1",35413,4,0,0,63.54,63.54,0
"1",57016,4,0,0,70.23,70.23,0
"1",66621,4,0,0,67.51,67.51,0
"1",67823,4,0,0,67.51,67.51,0
"1",78614,4,0,0,60.49,60.49,0
"1",80413,4,0,0,59.73,59.73,0
"0",2413,5,1,0,59.45,59.45,0
"0",22812,5,1,0,58.53,58.53,0
"1",34213,5,1,0,60.53,60.53,0
"1",35414,5,1,0,60.53,60.53,0
"1",42613,5,1,0,60.42,60.42,0
"1",43214,5,1,0,59.96,59.96,0
"1",70814,5,1,0,66.24,66.24,0
"1",77415,5,1,0,63.73,63.73,0
"1",80411,5,1,0,63.28,63.28,0
"1",39613,6,1,0,65.13,65.13,0
"1",45613,6,1,0,66.17,66.17,0
"1",50414,6,1,0,66.45,66.45,0
"0",21613,0,0,0,62.24,62.24,0
"0",28216,0,0,0,62.93,62.93,0
"1",31814,0,0,0,63.45,63.45,0
"1",37212,0,0,0,65.28,65.28,0
"1",38414,0,0,0,65.28,65.28,0
"1",41413,0,0,0,66.03,66.03,0
"1",45612,0,0,0,65.76,65.76,0
"1",63012,0,0,0,63.24,63.24,0
"1",63613,0,0,0,63.24,63.24,0
"1",84613,0,0,0,61.49,61.49,0
"1",15,1,0,0,59.97,59.97,0
"1",31215,1,0,0,59.51,59.51,0
"1",49212,1,0,0,64.42,64.42,0
"1",57015,1,0,0,63.98,63.98,0
"1",60013,1,0,0,63.19,63.19,0
"1",70814,1,0,0,62.01,62.01,0
"1",79216,1,0,0,60.77,60.77,0
"1",80412,1,0,0,60.77,60.77,0
"0",19211,2,0,0,61.24,61.24,0
"0",22812,2,0,0,61.2,61.2,0
"0",28213,2,0,0,61.2,61.2,0
"1",34813,2,0,0,63.32,63.32,0
"1",55212,2,0,0,67,67,0
"1",55812,2,0,0,67,67,0
"1",72014,2,0,0,64.77,64.77,0
"1",84012,2,0,0,63.28,63.28,0
"0",19212,3,0,0,61.49,61.49,0
"0",21615,3,0,0,61,61,0
"1",45014,3,0,0,65.33,65.33,0
"1",55213,3,0,0,65.49,65.49,0
"1",80411,3,0,0,63.8,63.8,0
"1",81013,3,0,0,63.8,63.8,0
"1",81614,3,0,0,63.8,63.8,0
"1",84012,3,0,0,63.24,63.24,0
"1",41412,4,0,0,68.03,68.03,0
"0",49813,4,0,0,70.08,70.08,0
"1",52816,4,0,0,69.69,69.69,0
"1",49214,5,1,0,78.62,78.62,0
"1",57019,5,1,0,79.04,79.04,0
"0",85815,5,1,0,68.18,68.18,0
"0",33611,6,1,0,70.16,70.16,0
"0",52813,6,1,0,85.21,85.21,0
"0",57012,6,1,0,83.94,83.94,0
"1",64213,6,1,0,80.62,80.62,0
"1",66011,6,1,0,78.97,78.97,0
"1",66611,6,1,0,78.97,78.97,0
"0",3013,0,0,0,70.43,70.43,0
"1",37211,0,0,0,75.11,75.11,0
"1",44411,0,0,0,77.34,77.34,0
"1",57640,0,0,0,73.83,73.83,0
"1",70212,0,0,0,67.12,67.12,0
"0",19211,1,0,0,60,60,0
"0",24013,1,0,0,59.73,59.73,0
"1",48013,1,0,0,60.47,60.47,0
"0",55813,1,0,0,61,61,0
"1",63012,1,0,0,60,60,0
"1",66012,1,0,0,59.72,59.72,0
"1",69612,1,0,0,59.45,59.45,0
"1",73817,1,0,0,59.45,59.45,0
"1",74418,1,0,0,59.45,59.45,0
"1",80411,1,0,0,59.73,59.73,0
"1",85814,1,0,0,59.53,59.53,0
"0",26412,2,0,0,58.24,58.24,0
"1",62412,2,0,0,68.87,68.87,0
"1",63614,2,0,0,68.87,68.87,0
"1",70212,2,0,0,67.16,67.16,0
"1",74416,2,0,0,65.82,65.82,0
"1",78015,2,0,0,65.03,65.03,0
"0",24013,3,0,0,64.04,64.04,0
"1",38413,3,0,0,69.07,69.07,0
"1",57616,3,0,0,76.35,76.35,0
"1",58818,3,0,0,76.35,76.35,0
"1",67814,3,0,0,74.12,74.12,0
"1",70212,3,0,0,69.84,69.84,0
"1",85814,3,0,0,65.11,65.11,0
"0",19812,4,0,0,62.49,62.49,0
"1",43215,4,0,0,68.07,68.07,0
"1",46815,4,0,0,68.01,68.01,0
"1",64814,4,0,0,69.08,69.08,0
"1",78615,4,0,0,64.89,64.89,0
"1",82811,4,0,0,63.07,63.07,0
"0",84612,4,0,0,63.07,63.07,0
"0",1211,5,1,0,62.82,62.82,0
"0",22811,5,1,0,59.8,59.8,0
"0",24013,5,1,0,59.8,59.8,0
"0",24613,5,1,0,59.8,59.8,0
"0",28215,5,1,0,59.51,59.51,0
"0",28816,5,1,0,60.8,60.8,0
"1",40805,5,1,0,63.04,63.04,0
"1",42608,5,1,0,63.04,63.04,0
"1",60013,5,1,0,67.08,67.08,0
"0",15,6,1,0,61,61,0
"0",1812,6,1,0,61,61,0
"0",2413,6,1,0,61,61,0
"0",21613,6,1,0,60,60,0
"0",23412,6,1,0,60,60,0
"1",33612,6,1,0,61.77,61.77,0
"0",37813,6,1,0,63.5,63.5,0
"1",41412,6,1,0,64.55,64.55,0
"1",51611,6,1,0,66.99,66.99,0
"1",52813,6,1,0,66.99,66.99,0
"1",64815,6,1,0,64.28,64.28,0
"0",85813,6,1,0,58.73,58.73,0
"1",42616,0,0,0,61.49,61.49,0
"1",53011,0,0,0,61.26,61.26,0
"1",63614,0,0,0,60.93,60.93,0
"1",73812,0,0,0,60.56,60.56,0
"1",78616,0,0,0,60.44,60.44,0
"1",81014,0,0,0,60.33,60.33,0
"1",82216,0,0,0,60.33,60.33,0
"1",84612,0,0,0,60.3,60.3,0
"0",27013,1,0,0,60,60,0
"1",62413,1,0,0,62.73,62.73,0
"1",66613,1,0,0,61.97,61.97,0
"1",67214,1,0,0,61.97,61.97,0
"1",69612,1,0,0,61.77,61.77,0
"1",70212,1,0,0,61.77,61.77,0
"1",85213,1,0,0,60.49,60.49,0
"0",23413,2,0,0,60.24,60.24,0
"0",28215,2,0,0,60.24,60.24,0
"1",41413,2,0,0,61.26,61.26,0
"1",45613,2,0,0,61.53,61.53,0
"1",84612,2,0,0,63.8,63.8,0
"0",2412,3,0,0,63.53,63.53,0
"0",28816,3,0,0,64.02,64.02,0
"1",34813,3,0,0,65,65,0
"1",39014,3,0,0,65.82,65.82,0
"1",45614,3,0,0,66.27,66.27,0
"1",76812,3,0,0,63.81,63.81,0
"1",85813,3,0,0,62.76,62.76,0
"0",3015,4,0,0,62.49,62.49,0
"1",45614,4,0,0,67.52,67.52,0
"1",76813,4,0,0,63.24,63.24,0
"0",2414,5,1,0,62,62,0
"0",23539,5,1,0,59.73,59.73,0
"0",32416,5,1,0,61.76,61.76,0
"1",46214,5,1,0,63.55,63.55,0
"1",49813,5,1,0,64.26,64.26,0
"1",64816,5,1,0,59.22,59.22,0
"1",69612,5,1,0,59.52,59.52,0
"0",19212,6,1,0,57.97,57.97,0
"0",21013,6,1,0,57.97,57.97,0
"1",44411,6,1,0,66.51,66.51,0
"1",46214,6,1,0,66.51,66.51,0
"1",46814,6,1,0,67.22,67.22,0
"1",61217,6,1,0,66.73,66.73,0
"1",63014,6,1,0,66.73,66.73,0
"1",67814,6,1,0,65.7,65.7,0
"1",70814,6,1,0,64.77,64.77,0
"1",74414,6,1,0,64.5,64.5,0
"1",77412,6,1,0,64.22,64.22,0
"1",85814,6,1,0,63.76,63.76,0
"0",20413,0,0,0,62.24,62.24,0
"0",22812,0,0,0,62.04,62.04,0
"1",31814,0,0,0,64.2,64.2,0
"0",34815,0,0,0,65.2,65.2,0
"1",45613,0,0,0,68.15,68.15,0
"1",75614,0,0,0,65,65,0
"1",77413,0,0,0,65,65,0
"0",22812,1,0,0,63.73,63.73,0
"0",24013,1,0,0,63.73,63.73,0
"1",31214,1,0,0,65.38,65.38,0
"1",49817,1,0,0,67.84,67.84,0
"1",52815,1,0,0,67.7,67.7,0
"1",55814,1,0,0,66.93,66.93,0
"1",57618,1,0,0,66.96,66.96,0
"1",63614,1,0,0,66.01,66.01,0
"1",80413,1,0,0,63.24,63.24,0
"1",84615,1,0,0,62.53,62.53,0
"1",85216,1,0,0,62.53,62.53,0
"0",19214,2,0,0,61.04,61.04,0
"0",26412,2,0,0,60.73,60.73,0
"1",34218,2,0,0,62.76,62.76,0
"1",63614,2,0,0,66.78,66.78,0
"1",70213,2,0,0,64.04,64.04,0
"1",84627,2,0,0,62,62,0
"0",19813,3,0,0,62.27,62.27,0
"0",21014,3,0,0,62.27,62.27,0
"1",28814,3,0,0,64.41,64.41,0
"1",33614,3,0,0,65.26,65.26,0
"1",34816,3,0,0,65.26,65.26,0
"1",44412,3,0,0,72.07,72.07,0
"1",48013,3,0,0,72.78,72.78,0
"1",56414,3,0,0,71.54,71.54,0
"1",75615,3,0,0,64.91,64.91,0
"1",82815,3,0,0,64,64,0
"0",19813,4,0,0,60.28,60.28,0
"0",28215,4,0,0,61.68,61.68,0
"1",54020,4,0,0,72.83,72.83,0
"1",62416,4,0,0,71.29,71.29,0
"1",67819,4,0,0,69.78,69.78,0
"1",72018,4,0,0,66.31,66.31,0
"0",20413,5,1,0,61.73,61.73,0
"0",24014,5,1,0,61.73,61.73,0
"0",25215,5,1,0,61.24,61.24,0
"1",35414,5,1,0,61.8,61.8,0
"1",39018,5,1,0,64.5,64.5,0
"1",49814,5,1,0,66.85,66.85,0
"1",64817,5,1,0,67.25,67.25,0
"0",24061,6,1,0,62.28,62.28,0
"0",28816,6,1,0,64.2,64.2,0
"1",58812,6,1,0,65.32,65.32,0
"1",60615,6,1,0,65.32,65.32,0
"1",66013,6,1,0,64.55,64.55,0
"1",69614,6,1,0,63.8,63.8,0
"1",73813,6,1,0,63.01,63.01,0
"1",78615,6,1,0,62.8,62.8,0
"1",80419,6,1,0,62.24,62.24,0
"1",82822,6,1,0,62.36,62.36,0
"0",3018,0,0,0,62,62,0
"0",20425,0,0,0,60.73,60.73,0
"0",21627,0,0,0,60.46,60.46,0
"1",44415,0,0,0,70.57,70.57,0
"1",45016,0,0,0,70.57,70.57,0
"1",54017,0,0,0,78.62,78.62,0
"1",67833,0,0,0,72.22,72.22,0
"1",84620,0,0,0,67.66,67.66,0
"0",24014,1,0,0,65.27,65.27,0
"0",24615,1,0,0,65.27,65.27,0
"1",30616,1,0,0,68.47,68.47,0
"0",31218,1,0,0,68.47,68.47,0
"1",37813,1,0,0,70.86,70.86,0
"1",50425,1,0,0,79.99,79.99,0
"1",60020,1,0,0,76.27,76.27,0
"1",61225,1,0,0,72.77,72.77,0
"1",75015,1,0,0,69.29,69.29,0
"0",21615,2,0,0,66.02,66.02,0
"0",25215,2,0,0,66,66,0
"0",28215,2,0,0,66,66,0
"1",54056,2,0,0,72.5,72.5,0
"1",78615,2,0,0,63.64,63.64,0
