,dataset_name,model,accurasy,number_of_trees,number_of_internal_trees,model_size_in_bytes,min_depth,max_depth,mean_depth,min_leaves,max_leaves,mean_leaves
1,accident,drf,0.834159919,50,50,64106,11,20,16.42,45,97,76.94
2,adni_demographic_master_kaggle,drf,0.814467011,50,50,32626,1,20,10.72,2,165,46.94
3,adult,drf,0.869758314,50,50,88578,16,20,19.36,111,158,133.12
4,aids,drf,0.580687831,50,50,20371,7,15,10.7,17,35,27.4
5,Aids2,drf,0.99889363,50,50,23301,5,17,9.36,10,104,32.2
6,amis,drf,0.661821669,50,50,409359,14,20,18.08,237,733,647.88
7,AP_Endometrium_Breast,drf,1,6,6,686,2,3,2.5,3,5,4.1666665
8,AP_Endometrium_Lung,drf,0.950396825,5,5,632,2,4,3.2,4,6,5.2
9,AP_Endometrium_Omentum,drf,0.872395833,5,5,609,2,3,2.6,3,6,4.8
10,arsenic-male-bladder,drf,0.808243728,50,50,8843,1,9,6.32,2,13,9.16
11,Attribute_DataSet,drf,0.677858439,50,50,40236,11,20,14.78,47,72,58.94
12,australian,drf,0.939444161,50,50,43036,10,19,12.96,46,79,63.36
13,azcabgptca,drf,0.564323177,50,50,167233,14,20,16.62,143,286,261.16
14,azdrg112,drf,0.546978643,50,50,33457,7,14,10.34,25,55,48.2
15,baboon_mating,drf,0.566818125,50,50,131974,14,20,17.62,128,174,156.42
16,bands,drf,0.919202899,50,50,32043,9,16,12.18,30,56,42.98
17,bank-additional-full,drf,0.890110257,50,50,59416,11,20,14.92,74,118,89.42
18,bank-additional,drf,0.923968509,50,50,60342,11,20,15,70,115,90.82
19,Benefits,drf,0.633290611,50,50,400497,20,20,20,584,687,633.92
20,biodeg,drf,0.922855083,50,50,52264,10,18,13.22,63,87,77.88
21,biopsy,drf,0.985452245,50,50,13725,5,9,7.04,11,24,16.92
22,Blackmore,drf,0.99987946,50,50,17811,2,14,8.38,3,72,23.4
23,block_2,drf,1,50,50,5987,1,6,3.42,2,9,4.62
24,block_5,drf,1,50,50,8207,3,8,4.9,4,14,8.18
25,block_8,drf,1,50,50,5710,2,5,3.1,3,7,4.18
26,channing,drf,1,50,50,7352,1,8,3.26,2,26,6.76
27,chess,drf,0.540322581,50,50,12648,3,6,3.86,6,11,7.9
28,Chile,drf,0.409791201,50,250,710031,13,20,17.636,98,353,222.032
29,Chile,drf,0.409791201,50,250,710031,13,20,17.636,98,353,222.032
30,chscase_health,drf,0.309263114,50,50,6994,2,7,3.94,3,11,6.16
31,cities_r2,drf,0.860596987,50,50,9154,4,7,5.14,5,18,9.62
32,cities_r2,drf,0.848712315,50,50,8098,3,7,4.82,4,13,7.92
33,confidence,drf,0.755190939,50,50,6752,1,6,4,2,9,5.82
34,Cowles,drf,0.514774902,50,50,28442,1,16,8.9,2,98,40.32
35,CPSch3,drf,0.496053152,50,50,381648,20,20,20,281,818,602.58
36,creditcard,drf,0.96818623,50,50,5443,1,5,2.6,2,7,3.68
37,cricketer,drf,0.992954962,50,150,19747,1,8,3,2,26,5.5
38,data_banknote_authentication,drf,0.912865125,50,50,19426,6,12,8.14,17,34,25.86
39,datatest,drf,0.901071933,50,50,25975,9,13,10.78,23,53,36.46
40,datatest2,drf,0.912384586,50,50,11710,2,11,6.28,3,30,13.74
41,datatraining,drf,0.94295976,50,50,31471,8,18,12.52,32,77,45.14
42,dbworld_subjects,drf,0.692646471,50,50,10384,4,17,9.74,5,20,11.26
43,dbworld_subjects_stemmed,drf,0.304143621,50,50,9901,3,13,8.84,4,16,10.54
44,deaths-in-india-satp-dfe,drf,0.522466415,7,98,1001655,1,20,14.397959,2,2145,412.87756
45,default of credit card clients,drf,0.629465424,26,26,621062,20,20,20,1634,2190,1885
46,default_of_credit_card_clients,drf,0.619463647,50,50,128139,18,20,19.86,159,213,197.42
47,dermatology,drf,0.896341629,50,50,8511,3,8,5,4,16,8.56
48,DFE-Biomedical-Images,drf,0.138936921,21,630,206718,3,20,7.2507935,1,337,21.12857
49,diagnosis,drf,0.961023772,50,50,6155,2,7,3.26,3,10,4.86
50,DoctorAUS,drf,0.737727096,50,350,450860,1,20,12.037143,2,441,97.29714
51,DoctorContacts,drf,0.822579518,50,50,667150,20,20,20,899,1250,1055.34
52,fertility_Diagnosis,drf,0.595940796,50,50,9496,3,10,6.3,4,15,10.18
53,FinalFourIzzo,drf,0.893078497,50,50,11710,1,10,7.1,2,22,13.74
54,forest,drf,0.663331413,50,200,61335,5,14,8.21,8,34,19.445
55,Galton,drf,0.460950171,50,600,336540,2,20,11.54,3,86,39.636665
56,Glass,drf,0.507678981,50,300,62884,2,13,5.9533334,3,33,11.72
57,go_track_tracks,drf,0.744682984,50,50,11942,6,11,8.22,10,20,13.98
58,Gunnels,drf,0.973494074,50,50,10094,1,13,4.42,2,49,11.1
59,gym,drf,0.609629969,50,50,131913,15,20,19.16,137,238,205.1
60,haberman,drf,0.577391618,50,50,29070,8,15,11.5,26,54,41.24
61,hayes-roth,drf,0.54856929,50,150,36362,3,11,6.9666667,4,25,14.333333
62,head.injury,drf,0.745472495,50,50,66991,10,10,10,89,117,100.42
63,heart,drf,0.641626013,50,50,21625,7,12,9.02,17,38,29.42
64,hepatitis,drf,0.712099009,50,50,10369,2,8,6.06,3,17,11.6
65,Hill_Valley_with_noise_Training,drf,0.470482172,50,50,42852,10,20,18.94,27,97,62.36
66,Hill_Valley_without_noise_Training,drf,0.492806124,50,50,42118,13,20,18.7,32,97,61.26
67,homerun,drf,0.467641242,50,50,21748,8,16,10.68,13,49,29.46
68,How-beautiful-buildings-DFE,drf,0.325694689,50,250,489418,1,20,13.288,2,493,150.82
69,HR_comma_sep,drf,0.835280762,50,50,38901,9,15,11.32,39,76,56.84
70,imdb,drf,0.502023981,50,50,9204,3,4,3.96,5,12,9.7
71,immi1,drf,0.513422569,50,50,244284,17,20,19.36,328,429,384.62
72,immi2,drf,0.531596469,50,50,254020,18,20,19.68,343,446,399.9
73,immi3,drf,0.521577271,50,50,239785,18,20,19.78,338,408,377.26
74,immi4,drf,0.518889109,50,50,244445,17,20,19.56,351,435,384.6
75,immi5,drf,0.525914445,50,50,247305,17,20,19.66,341,434,389.46
76,immigration,drf,0.557924055,50,50,209378,16,20,18.3,269,372,332.18
77,Indian Liver Patient Dataset (ILPD),drf,0.550850469,50,50,42037,11,20,16.54,53,72,61.62
78,indian_ilpd,drf,0.586646149,50,50,39732,10,20,14.7,45,70,58.04
79,InstEval,drf,0.213016949,8,40,3456729,20,20,20,4910,8392,6886.675
80,ionosphere,drf,0.772359084,50,50,13473,5,14,9.14,12,23,16.58
81,iris,drf,0.827562711,50,150,19736,1,7,3.28,2,15,5.5066667
82,jobs,drf,0.862351605,50,200,63049,1,17,6.73,2,85,20.065
83,KosteckiDillon,drf,0.935650358,50,50,61057,12,19,14.96,61,184,92.12
84,krk,drf,0.590862095,50,50,96314,12,20,14.98,125,166,148.64
85,logan,drf,0.701354841,50,50,16330,4,11,7.68,9,33,21.12
86,lupus,drf,0.608058786,50,50,11024,4,11,7.24,8,18,12.58
87,lymphoma_2classes,drf,0.624520426,28,28,2865,1,3,1.9285715,2,4,3.1785715
88,magic04,drf,0.673165064,50,50,91986,14,20,17.38,125,175,141.18
89,Males,drf,0.51367678,50,250,988741,11,20,18.508,39,536,310.812
90,mammographic_masses,drf,0.631656096,50,50,59744,12,20,15.52,75,110,90.44
91,Marathon,drf,0.859327496,50,50,18978,1,9,3.78,2,30,8.48
92,messidor_features,drf,0.544409337,50,50,89038,14,20,18.7,113,159,136.18
93,mid,drf,0.077190735,21,987,970163,1,20,14.729484,2,205,73.0152
94,ModeChoice,drf,0.507040581,50,300,183511,1,20,10.263333,2,102,43.65333
95,monica,drf,0.692546006,50,50,227366,18,20,19.88,215,441,358.14
96,monks-1.train,drf,0.59111099,50,50,14602,5,8,7.3,10,25,18.36
97,monks-2.train,drf,0.559148653,50,50,23946,6,10,8.02,22,42,33.18
98,monks-3.train,drf,0.804884318,50,50,12743,4,9,6.8,9,23,15.3
99,musk,drf,0.855478036,50,50,27013,1,15,8.78,2,63,33.72
100,mutagenesis,drf,0.889139388,50,50,36382,11,19,13.52,28,72,52.8
101,NCbirths,drf,0.909642895,50,200,62539,1,15,7.165,2,75,19.965
102,nlschools,drf,0.768992011,50,50,109718,16,20,19.48,116,237,169.74
103,numeric_sequence,drf,0.660494751,50,50,105108,10,13,11.2,145,184,162.94
104,nursery,drf,0.932576938,50,50,29955,1,13,7.54,2,140,42.9
105,parkinsons,drf,0.697011809,50,50,9576,4,9,5.56,7,14,10.26
106,php3BOEY5,drf,0.881695142,50,50,12213,4,13,7.58,6,22,14.52
107,php4ylQmK,drf,0.708940618,50,50,10675,4,10,6.3,8,17,12.04
108,php7E9bQN,drf,0.702748773,50,50,39031,10,17,13.34,42,67,56.92
109,php9xWOpn,drf,0.865854809,50,50,48332,10,20,14.98,15,145,71.32
110,phphHV8xl,drf,0.808300181,50,50,50334,2,15,11.7,3,113,64.78
111,phpjG28NS,drf,0.720803201,50,50,13086,6,11,7.84,9,20,15.86
112,phpLalDwz,drf,0.721327264,50,50,42060,11,20,14.2,45,75,61.8
113,phplN67dW,drf,0.665910603,50,50,14570,5,14,8.74,12,24,18.24
114,phpqZOQcc,drf,0.632140805,50,50,115979,16,20,19.74,146,210,178.16
115,phps53v4E,drf,0.661267851,50,50,16351,7,12,8.7,16,29,21
116,phpSRnbqC,drf,0.42407011,50,50,16395,7,14,10.38,15,28,21.14
117,phpZeLjnh,drf,0.643171583,50,50,18203,7,12,9.56,18,30,23.9
118,pima-indians-diabetes,drf,0.588935396,50,50,55327,11,17,13.78,69,92,82.9
119,pkmn-go,drf,0.137989623,50,700,115416,1,12,5.01,2,20,8.152857
120,pneumon,drf,0.356136221,42,546,1119237,1,20,17.001831,2,502,157.6978
121,Pokemon,drf,0.799911061,50,50,13177,5,10,7.38,10,24,16.1
122,police-KBP-2013-14-15-FULL-DFE,drf,0.485786782,50,150,465652,9,20,16.58,40,251,146.57333
123,Political-media-DFE,drf,0.598635558,50,50,78021,7,14,9.76,23,55,38.04
124,presidentialElections,drf,0.950768034,50,50,10948,1,12,4.38,2,43,10
125,prostate_TumorVSNormal,drf,0.600347373,6,6,847,3,4,3.3333333,6,8,6.3333335
126,quakes,drf,0.026714263,40,3440,765274,1,20,6.0639534,2,52,12.678489
127,reviews,drf,0.588581993,50,50,138461,7,18,13.1,27,114,66.16
128,risk_factors_cervical_cancer,drf,0.810134838,50,50,19985,6,15,10.64,14,39,26.88
129,salary-ranges-by-job-classification_1,drf,0.933690672,50,250,45224,1,5,1.76,2,9,2.856
130,SalesKaggle3,drf,0.949694268,50,50,11548,1,16,5.34,2,56,13.38
131,SaratogaHouses,drf,0.606657718,50,50,124065,15,20,18.14,170,211,192.2
132,science,drf,0.690114613,45,2970,493946,1,11,5.205387,2,31,8.2400675
133,seismic-bumps,drf,0.760460644,50,50,83587,13,20,16.96,100,150,127.12
134,SLID,drf,0.531341227,50,200,1162871,11,20,18.58,43,875,459.795
135,smogon,drf,0.246151245,50,500,167216,1,17,8.248,2,49,21.654
136,sonar,drf,0.653844666,50,50,12078,5,10,6.16,10,19,14.28
137,spam7,drf,0.695366897,50,50,152226,19,20,19.96,156,306,234.92
138,spambase,drf,0.763951976,50,50,80099,17,20,19.88,84,147,120.04
139,SPECTF,drf,0.592923097,50,50,7854,3,7,4.9,5,10,7.6
140,Star,drf,0.720096072,50,150,498844,2,20,16.493334,3,480,259.78
141,student-mat,drf,0.787909636,50,50,12739,5,10,6.98,7,23,15.32
142,synth.te,drf,0.717375007,50,50,36628,11,17,13.28,32,65,53.5
143,TenMileRace,drf,0.525793692,50,50,726334,20,20,20,1006,1146,1073.72
144,testing,drf,0.655981077,50,50,25376,8,16,10.82,23,55,35.34
145,ThoraricSurgery,drf,0.672039199,50,50,35106,8,20,14.46,32,63,50.68
146,Titanic,drf,0.631256157,50,50,39073,1,18,12.72,2,98,57.8
147,Tobacco,drf,0.397088666,50,250,693400,15,20,19.2,120,319,214.692
148,Train,drf,0.496291658,50,150,533844,16,20,19.12,165,399,278.32
149,training,drf,0.927775332,50,50,24817,6,14,9.96,20,55,34.42
150,trains,drf,0.566907201,50,50,6333,1,6,3.62,2,9,5.08
151,transfusion,drf,0.597667157,50,50,58065,12,20,14.56,71,101,87.06
152,transplant,drf,0.562261752,50,200,147457,7,19,12.13,16,109,53.77
153,turnout,drf,0.564874908,50,50,161262,16,20,19.26,216,273,252.02
154,twitter-hate-speech-classifier-DFE-a845520,drf,0.710360586,50,150,16682,1,7,2.4533334,2,9,3.6066666
155,UCI_Credit_Card,drf,0.632248545,32,32,787640,20,20,20,1675,2231,1943.625
156,university_grade,drf,0.487807224,50,50,11269,4,7,5.66,9,16,13
157,utube,drf,0.848659013,50,50,20223,7,11,9.16,17,38,26.94
158,VerbAgg,drf,0.947810294,50,50,18987,1,13,6.86,2,87,25.22
159,vgsales_EU,drf,0.623358296,50,50,161589,11,19,15.28,61,153,116.82
160,vgsales_global,drf,0.615688104,50,50,177654,12,20,16.66,66,159,131.26
161,vgsales_JP,drf,0.706654577,50,50,104753,10,18,13.44,45,101,81.62
162,vgsales_NA,drf,0.599806437,50,50,172620,12,20,16.2,80,173,129.26
163,vgsales_other,drf,0.630213029,50,50,149890,11,18,14.7,60,135,110.64
164,Video_Games_Sales_as_at_30_Nov_2016,drf,0.538955181,50,50,149819,10,18,13.7,72,132,100.92
165,VietNamH,drf,0.021068467,4,776,420512,6,20,12.036082,11,76,38.148197
166,visualizing_soil,drf,0.994092834,50,50,8732,2,11,4.5,3,35,8.96
167,voice,drf,0.871084331,50,50,39984,8,17,12.24,35,85,58.74
168,voteincome,drf,0.539143419,50,50,163732,15,20,18.88,232,280,256.58
169,winequality-white,drf,0.622164805,50,50,114913,14,20,17.56,160,197,177.78
170,Wonder Trade,drf,0.371563859,50,350,107064,1,14,6.8685713,2,42,15.534286
171,world,drf,0.888253613,50,50,6593,1,4,1.36,2,8,2.62
172,YouthRisk2007,drf,0.997902577,50,50,6283,1,5,2.26,2,15,5.06
173,agreement-sentence-agreement-DFE,drf,0.006519341,8,3672,589980,1,10,3.5539215,2,18,5.252451
174,block_10,drf,0.963613116,50,150,16895,1,6,2.8066666,2,9,4.2066665
175,block_4,drf,0.982421651,50,100,13030,2,8,4.04,3,11,5.46
176,block_6,drf,0.990798743,50,150,15810,1,6,2.4333334,2,11,3.64
177,block_7,drf,0.99443154,50,100,11412,2,5,3.06,3,8,4.18
178,block_8,drf,0.987122936,50,50,5899,1,6,3.02,2,12,4.48
